gene_id	geneset
gene:YIR036W-A	Membrane
gene:YPL260W	Cytoplasm
gene:YML029W	Endoplasmic reticulum membrane
gene:YKL145W-A	Membrane
gene:YNL179C	Membrane
gene:YPL253C	Cytoplasm
gene:YOR142W-B	Cytoplasm
gene:YGR161W-B	Cytoplasm
gene:YOR091W	Cytoplasm
gene:YDR113C	Cytoplasm
gene:YDR467C	Membrane
gene:YDR514C	Nucleus
gene:YDR526C	Membrane
gene:YLR126C	Cytoplasm
gene:YER082C	Nucleus
gene:YGL095C	Cytoplasm
gene:YEL050W-A	Membrane
gene:YOR069W	Cytoplasm
gene:YLL037W	Membrane
gene:YLL059C	Membrane
gene:YML005W	Cytoplasm
gene:YGL214W	Membrane
gene:YLR466C-A	Membrane
gene:YHR049C-A	Membrane
gene:YPR010C-A	Membrane
gene:YPR158W-B	Cytoplasm
gene:YPR158C-C	Cytoplasm
gene:YOR074C	Nucleus
gene:YML045W	Cytoplasm
gene:YHL028W	Membrane
gene:YOR142W-A	Cytoplasm
gene:YGR148C	Cytoplasm
gene:YLL003W	Cytoplasm
gene:YFL037W	Cytoplasm
gene:YMR322C	Cytoplasm
gene:YLR060W	Cytoplasm
gene:YJR113C	Mitochondrion
gene:YML100W	Cytoplasm
gene:YIR017W-A	Membrane
gene:YBL050W	Membrane
gene:YHR019C	Cytoplasm
gene:YKL086W	Cytoplasm
gene:YOR140W	Nucleus
gene:YLL005C	Membrane
gene:YGL228W	Mitochondrion
gene:YLR010C	Nucleus
gene:YPR198W	Membrane
gene:YOR052C	Nucleus
gene:YGL152C	Membrane
gene:YGR172C	Endoplasmic reticulum membrane
gene:YDR381W	Nucleus
gene:YHR063W-A	Membrane
gene:YFL032W	Membrane
gene:YPR204C-A	Membrane
gene:YPR022C	Cytoplasm
gene:YPR137C-B	Cytoplasm
gene:YML047W-A	Membrane
gene:YHR090C	Nucleus
gene:YGR038C-A	Cytoplasm
gene:Q0255	Mitochondrion
gene:YLR455W	Nucleus
gene:YJL202C	Membrane
gene:YER074W-A	Endoplasmic reticulum membrane
gene:YOR367W	Cytoplasm
gene:YLR341W	Cytoplasm
gene:YOR110W	Nucleus
gene:YLR101C	Membrane
gene:YIL171W-A	Membrane
gene:YIR021W-A	Membrane
gene:YML045W-A	Cytoplasm
gene:YAR029W	Cytoplasm
gene:YGL088W	Membrane
gene:YAR009C	Cytoplasm
gene:YMR151W	Membrane
gene:YHR048W	Membrane
gene:YJR112W-A	Membrane
gene:YGL227W	Nucleus
gene:YIL030W-A	Membrane
gene:YMR254C	Membrane
gene:YPL014W	Cytoplasm
gene:YPR064W	Membrane
gene:YPL108W	Cytoplasm
gene:YKL065W-A	Membrane
gene:YMR052C-A	Membrane
gene:YFR056C	Membrane
gene:YOR218C	Membrane
gene:YMR122W-A	Endoplasmic reticulum membrane
gene:YOL037C	Membrane
gene:YBL100W-A	Cytoplasm
gene:YGR116W	Nucleus
gene:YLL067W-A	Membrane
gene:YPR170W-A	Membrane
gene:YCR084C	Nucleus
gene:YPR123C	Membrane
gene:YML007C-A	Mitochondrion
gene:YOR161C-C	Membrane
gene:YOR022C	Mitochondrion
gene:YLL039C	Cytoplasm
gene:YBR287W	Membrane
gene:YFL052W	Nucleus
gene:YGR105W	Endoplasmic reticulum membrane
gene:YLR402W	Membrane
gene:YGR038C-B	Cytoplasm
gene:YNR062C	Membrane
gene:YNR066C	Membrane
gene:YBR085C-A	Cytoplasm
gene:YBR126W-A	Membrane
gene:YLR327C	Mitochondrion
gene:YPR186C	Nucleus
gene:YHR033W	Cytoplasm
gene:YGL060W	Cytoplasm
gene:YCR023C	Membrane
gene:YIL054W	Membrane
gene:YGR072W	Nucleus
gene:YCR081C-A	Membrane
gene:YIL071W-A	Membrane
gene:YIL029C	Membrane
gene:YMR090W	Cytoplasm
gene:YLR346C	Mitochondrion
gene:YOL103W-A	Cytoplasm
gene:YBR265W	Endoplasmic reticulum membrane
gene:YLR419W	Cytoplasm
gene:YGR069W	Membrane
gene:YGL204C	Membrane
gene:YPR196W	Nucleus
gene:YHR214C-B	Cytoplasm
gene:YFL034W	Membrane
gene:YPR137C-A	Cytoplasm
gene:YPL257W-A	Cytoplasm
gene:YPR169W-A	Membrane
gene:YLR279W	Membrane
gene:YDL235C	Cytoplasm
gene:YER128W	Cytoplasm
gene:YGR161C-C	Cytoplasm
gene:YGL149W	Membrane
gene:YMR225C	Mitochondrion
gene:YJL129C	Membrane
gene:YBR130C	Endoplasmic reticulum membrane
gene:YDR079C-A	Nucleus
gene:YLR147C	Cytoplasm
gene:YHL026C	Membrane
gene:YHR180W	Membrane
gene:YOR199W	Membrane
gene:YPR170C	Membrane
gene:YHR052W-A	Membrane
gene:YHR054W-A	Membrane
gene:YER033C	Cytoplasm
gene:YAR023C	Membrane
gene:YOR387C	Cytoplasm
gene:YGL082W	Cytoplasm
gene:YIR018W	Cytoplasm
gene:YKL031W	Membrane
gene:YGR161C-D	Cytoplasm
gene:YOL159C	Cytoplasm
gene:YKL187C	Mitochondrion
gene:YGR016W	Membrane
gene:YMR034C	Membrane
gene:YGR296C-B	Membrane
gene:YDR357C	Cytoplasm
gene:YEL061C	Cytoplasm
gene:YIR003W	Cytoplasm
gene:YLR392C	Cytoplasm
gene:YOR078W	Nucleus
gene:YCR032W	Cytoplasm
gene:YFL028C	Cytoplasm
gene:YDR321W	Cytoplasm
gene:YLR397C	Cytoplasm
gene:YOR129C	Cytoplasm
gene:YLR204W	Mitochondrion
gene:YDL099W	Cytoplasm
gene:YGL263W	Membrane
gene:YHL048W	Membrane
gene:YGR134W	Cytoplasm
gene:YOR239W	Cytoplasm
gene:YGL029W	Nucleus
gene:YKL016C	Mitochondrion
gene:YKL049C	Nucleus
gene:YLR226W	Nucleus
gene:YLR098C	Nucleus
gene:YLR189C	Cytoplasm
gene:YIL076W	Cytoplasm
gene:YDR423C	Cytoplasm
gene:YGR150C	Mitochondrion
gene:YHR116W	Cytoplasm
gene:YOR163W	Cytoplasm
gene:YLR087C	Membrane
gene:YJL084C	Cytoplasm
gene:YDL141W	Cytoplasm
gene:YOR152C	Endoplasmic reticulum membrane
gene:YLR431C	Cytoplasm
